Article Title,Keywords,Abstract,Publication Year,Research Areas,label
"Determinants of patent infringement awards in the US, Japan, and China: A comparative analysis",Patent litigation; Patent damages; Patent infringement awards; Jury system; Jury verdict; Treble damages; EMPIRICAL-ANALYSIS; INDICATORS; CITATIONS,"Patent litigations are essential measures to maximize returns from research and development. Although major countries have promoted pro-patent policies, there are significant differences in patent infringement awards among jurisdictions. This article comparatively analyzes determinants of patent infringement awards in the US, Japan, and China using 880 court decisions between 2000 and 2014. We find that Japan's judges attach more weight to a litigated patent's technological importance, whereas judges in the US and China prioritize its private economic value. Besides, damages ruled by US juries are almost unpredictable, while judges provide the most predictable decisions. We also find that the jury system can explain both the variation in the US patent infringement awards and the difference with awards in Japan, but the treble damage system can only explain the former. These results provide novel empirical evidence for public policy debates on patent protection and practical insights for intellectual property professionals.",2020,Information Science & Library Science,0
The alienability of innovation: evidence from patent transfers,Innovation; patents; secrecy; alienability; excludability; public goods; RESEARCH-AND-DEVELOPMENT; CUMULATIVE INNOVATION; SEQUENTIAL INNOVATION; INTELLECTUAL PROPERTY; MARKET VALUE; BIG SECRETS; OPPOSITION; PROTECTION; ECONOMICS; DYNAMICS,"This paper examines the conceptualization of innovation as a public good using an empirical analysis of patent transfers. It proposes that patents make inventions both excludable and alienable, in contrast to secrecy which only makes them excludable. A survival analysis finds that 10% higher complexity of patent descriptions is associated with 9% higher patent transfer hazard. This suggests that inventors more often patent complex inventions for the alienability motive - as opposed to the excludability motive. Small inventors transfer their patents less likely, but they do so sooner than other inventors. This suggests that patents enable an exchange of inventions that would otherwise be kept secret, but small inventors may not benefit from this function disproportionately more than others. These findings have implications for the conceptualization of innovation.",2023,Business & Economics,0
COPYRIGHT AND PATENT PROTECTION OF CLOuD STORAGE SOFTWARE IN THE BRICS MEMBER STATES,copyright; intellectual property; BRICS; Russia; China; India; Brazil; South Africa; ,"In the BRICS Member States, serious attention is paid to Information Technology develop-ment in terms of both technology and law. These countries are at the forefront in the development of the digital economy and digital innovations. Cloud storage software is an important element in this sector and is intensively applied in civil law transactions. The processes of approval, storage and sorting of documents are being automated on the basis of the relevant computer programs. This helps companies and government agencies to systemize their operations. At present, the most pressing issues are those related to copyright and copyright holders of computer programs since software code may be copied, even illegally or unconscientiously, and used as the basis for another software product. Cloud storage software is copyright-protected, but, depending on the scope of its use, additional patent protection may be required. Given the rapid development of the IT sector, a software product may be one of the components in an invention subject to patenting. The article focuses on the relationship between copyright and patent protection of software and offers a comparison of the approaches taken by the BRICS countries. Approaches taken by Germany as a European Union Member State and the United States of America are shown in the all-out comparison. The article also analyzes the views of academics on the relationship between copyright and patent protection of software.",2021,Government & Law,0
Reconsidering Conflicts over Gene Patents in View of Taiwan Patent Law,gene patent; compulsory license; Myriad; research exemption; Taiwan Patent Act; patient access; patent eligibility; ,"This article discusses the legal and policy issues arising out of gene patents in light of the United States Supreme Court's Myriad decision. There are alternatives to an outright ban on all gene patents. This article proposes recommendations to accommodate the competing interests of patient access to beneficial technologies and gene patenting. In order to balance the competing interests of encouraging innovation while making gene-based medical treatment more accessible, a research exemption from patent infringement and compulsory licensing of a gene patent is suggested by referring to the Taiwan Patent Act. These solutions would ensure scientists and other groups the opportunity to use gene-related patents for the public interest or noncommercial purposes. The research exemption enables research on patented genes without the risk of being held liable for infringement, thereby promoting further advancement in the gene-related industry. The framework of a compulsory license ensures patient access to genetic treatment. These solutions, on the one hand, solve primary concerns surrounding gene patents, and on the other hand, maintain gene patent protection and the incentives needed to promote the progress of gene-related technologies.",2020,Biotechnology & Applied Microbiology,0
Patenting Genetic Information,; INNOVATION; AMPLIFICATION; BIOLOGICS; ECONOMICS; INDUSTRY; THERAPY; HISTORY; GENOME; IMPACT; PRICE,"The U.S. biotechnology industry got its start and grew to maturity over roughly three decades, beginning in the 1980s. During this period genes were patentable, and many gene patents were granted. University researchers performed basic research- often funded by the government-and then patented the genes they discovered with the encouragement of the Bayh-Dole Act, which sought to encourage practical applications of basic research by allowing patents on federally funded inventions and discoveries. At that time, when a researcher discovered the function of a gene, she could patent it such that no one else could work with that gene in the laboratory without a license. She had no right, however, to control genes in nature, including in human bodies. Universities licensed their researchers' patents to industry, which brought in significant revenue for further research. University researchers also used gene patents as the basis for obtaining funding for start-up enterprises spun out of university labs. It was in this environment that many of today's biotechnology companies started. In 2013, the Supreme Court held that naturally occurring genes could no longer be patented. This followed a 2012 decision that disallowed patents on many diagnostic processes. These decisions significantly changed the intellectual property protections in the biotechnology industry. Nevertheless, the industry has continued to grow and thrive. This Article investigates two questions. First, if some form of exclusive rights still applied to genes, would the biotech industry be even more robust, with more new entrants in addition to thriving, well-established companies? Second, does the current lack of protection for gene discoveries incentivize keeping such discoveries secret for the many years that it can take to develop a therapeutic based thereon-to the detriment of patients who could benefit from knowledge of the genetic associations, even before a treatment is developed? The Article concludes by analyzing what protection for discovering genetic associations, if any, will most increase social welfare.",2023,Government & Law,0
An educational analysis on the legal protection of inventions in the European Union: past and present,European Union; European Patent Convention; European Patent Court; Russia; ,"This article aims to explore the developments in the legal protection of inventions in the European Union (EU) from the perspective of regulatory measures on the matter and the rules of procedure in order to identify appropriate regulatory models. Based on analytical reflections on the information obtained from relevant sources and literature and dialectic method, the author analyzes the provisions of the EU regulations that create patterns of legal framework and patent protection from the point of view of consolidating the novels of substantial legislation and practice and procedural. The article is based on analytical reflections on information taken from sources and literature and descriptive approach to the legal regulations in the field under study. The results are presented in a system and comparison of the protection regimes - current and previous - of patent rights in the EU. Thus, the theoretical and practical importance of the results obtained is determined by the fact that the reader will have modern scientific information on the state of EU legislation in the field under study, which will contribute to understanding the gap (or your absence). on the achievements of researchers and professionals in Russia and abroad in this area.",2021,Education & Educational Research,0
"Private and social functions of patents: Innovation, markets, and new firms",; RESEARCH-AND-DEVELOPMENT; TECHNOLOGICAL-INNOVATION; INCENTIVES; SPILLOVERS; STRATEGIES; PROTECTION; RIGHTS,"This article provides a review of the private and social functions of patents using data and evidence from the economic and management literature. While patents provide incentives to invent by providing private protection to appropriate the returns on inventions, they also have broader effects. For example, in this paper we focus on the fact that they provide signals about the value of new firms, disclose information about the invention, and encourage the exchange of inventions and ideas in markets for technology. In order to better understand the relative importance of the implications of patents, patent agencies and stakeholders should invest to a greater extent in data collections or in creating the conditions for research designs and experiments that nail down causal effects and mechanisms. Available data are not created with these identification strategies in mind, which limits the questions that scholars can ask. Systematic studies that identify different effects of patents can provide the basis for rigorous evidence-based management and policy about patents. This would imply a wider shift from a world in which managerial and policy analysis is distinct from practice, to a world in which analysis and implementation are increasingly co-produced, and there is greater integration between them.",2023,Business & Economics,0
Patent characteristics for leishmaniasis treatment as a basis for freedom-to-operate analysis,Leishmaniasis therapy; Intellectual property right; Patent; Claim; Bolar exemption; ,"Among the main zoonoses with the highest morbidity burden is leishmaniasis. The parasite of the genus Leishmania is its etiological agent. There are three forms of the disease: cutaneous, mucocutaneous and visceral. Pentavalent antimonial drugs are used for leishmaniasis treatment, however toxic side effects and parasite resistance have been detected. Intellectual Property Rights (IPRs) protect inventions that promote benefits to society, and patents are particularly notable for preserving advancements in biotechnology. To introduce innovative technologies, it is necessary to analyze the elements and processes involved in the development of products that may be protected by IPRs. This process consists of product deconstruction into its elements for an intellectual property analysis to contemplate commercial viability, and to determine strategies to avoid infringing third party rights (Freedom-to-Operate approach). In this project, a sample of patents protecting treatments directed against leishmaniasis were evaluated in order to know their characteristics, and to establish useful elements for Freedom-to-operate strategies. Open access patent databases were used (The Lens, Google patents, Patentscope, among others), and relevant characteristics such as claims, owners, technology protection region, or year of application for protection were determined. The sample obtained includes patents from 1967 to 2023. The majority of patents were found to be located in countries such as Brazil or the United States, and described developments focused on compounds derived from chemical synthesis, polypeptides, extracts, antigens, or structural components of the parasite. There are several patents that have already expired and whose information can be freely used. The Bolar exemption would allow the use of information from these patents for regulatory compliance purposes. This study provides an overview of what has been patented for leishmaniasis treatment, and information on Freedom-to-operate focus.",2024,Information Science & Library Science,0
The patent buyout price for human papilloma virus (HPV) vaccine and the ratio of R&D costs to the patent value,; ,"Human papillomavirus (HPV) is responsible for almost all of the 570,000 new cases of cervical cancer and approximately 311,000 deaths per year. HPV vaccination is an integral component of the World Health Organization's (WHO) global strategy to fight the disease. However, high vaccine prices enforced through patent protection are limiting vaccine expansion, particularly in low- and middle-income countries. By limiting market power, patent buy-outs could reduce vaccine prices and raise HPV vaccination rates while keeping innovation incentives. We estimate the global patent buyout price as the present discounted value (PDV) of the future profit stream over the remaining patent length for Merck's HPV vaccines (Gardasil-4 and 9), which hold 87% of the global HPV vaccine market, in the range of US$ 15.6-27.7 billion (in 2018 US$). The estimated PDV of the profit stream since market introduction amounts to US$ 17.8-42.8 billion and the estimated R&D cost to US$ 1.05-1.21 billion. Thus, we arrive at a ratio of R&D costs to the patent value of the order of 2.5-6.8%. We relate this figure to typical estimates of the probability of success (POS) for clinical trials of vaccines to discuss if patent protection provides Merck with extraordinarily strong price setting power.",2021,Science & Technology - Other Topics,0
"HOW FOREIGN CAPITAL, TRIADIC PATENT PROPENSITY AND INTELLECTUAL PROPERTY RIGHTS PROTECTION CAN ASSIST IN INCLUSIVE GROWTH: IMPLICATIONS FROM DEVELOPING ECONOMIES",; DEVELOPMENT SPILLOVERS; TRADE,,2020,Development Studies; Business & Economics,0
A Feasible Pathway for Open Access to Human Embryonic Stem Cell Patents-With China's Open License for Patent as the Entry Point,Human embryonic stem cell (hESC); open license for patent; open access; patent; China; PATENTABILITY,"China has entered the second stage on how to give full play to the value of human embryonic stem cell (hESC) patents, and the key to the issue is the open license instead of setting up the patent thicket. China has added the open license for patent to its patent law and multiple provincial-level administrative regions, including Beijing and Shanghai, have successively carried out open license pilot programs and achieved phased achievements. China's bold innovation in the open license for patent may have a positive impact on promoting the open access of hESC patents. From the perspective of patentees, it provides policy incentives and enhances the protection of rights. In terms of licensees, it reasonably determines the license fee and safeguards stable contract validity. From the higher strategic level, China's open license for patent can provide a beneficial model for various countries of open access of hESC patents.",2024,Biotechnology & Applied Microbiology,0
Empirical insights into industrial policy's influence on phytoprotection innovation,intelligent phytoprotection; industrial policy; patent; DID; empirical view; ,"Intelligent Phytoprotection is an important direction for the modern development of plant protection related disciplines, and its essence is the innovative application of new generation information technology industry, high-end equipment manufacturing industry, and digital industry related technologies in the traditional plant protection field. This article first identifies 224 International Patent Classification (IPC) Main groups in the field of intelligent phytoprotection technology based on the International Patent Classification System. And then combines with China's industrial policy practice, we explore the impact of industrial policy on the application number of invention patents in the field of intelligent phytoprotection technology using the Difference-in-difference (DID) method and the Synthetic DID method. The study results showed that the implementation of industrial policy can significantly promote the patent application activities in the intelligent phytoprotection treatment group, with an average increase of 517 invention patent applications compared to the control group that is not affected by the policy. The research conclusion of this article suggests that for countries and regions, industrial policies are an important tool for promoting the innovation and development of intelligent phytoprotection related technologies.",2023,Plant Sciences,0
Quali-quantitative synthesis of the global scenario of patent families about leprosy,Leprosy and patent; ,"The work presents the analysis and synthesis of patent families about leprosy worldwide in the last 20 years. Three technological aspects were defined for the study of both portfolios, thus defined: diagnostic, drug/treatment and vaccine. Three thousand and three hundred twenty-three (3323) patent families were identified (790 for diagnostic, 1515 for drug and 1018 for vaccine). Fifty-eight (58) patent holders were identified and analyzed, with the most expressive portfolio of patent families, distributed in 13 countries. For the recovery of patent families, the ORBIT Intelligence (R) system from QUESTEL (R) was used. Using quantitative and qualitative analysis and synthesis, the patterns of five strategic indicators on the global patent scenario about leprosy were observed, namely: holders of patent families; the years of filing for unionist priority for patent families; countries of unionist priority for patent families; the legal status of filed patent families; and the legal status of patent families by country of protection. It is suggested that new public policies be created to encourage synergy between patent families and the social determinants of neglected populations, in order to induce a safe path to technological independence and better performance in the fight against leprosy in the Brazil.",2021,"Public, Environmental & Occupational Health",0
Patents on Environmental Technologies and Environmental Sustainability in Spain,patents; environmental innovations; sustainability; carbon emissions; Spain; ECONOMIC-GROWTH; ENERGY-CONSUMPTION; CO2 EMISSIONS; INNOVATION; TRADE; CHALLENGES; MANAGEMENT; IMPACT,"Through an in-depth evaluation of the potential effectiveness of intellectual property protection on environmental technologies, the aim of the present research is to investigate the effect of patents on environmental innovation, energy use, GDP, and trade openness on environmental deregulation in Spain using nonlinear ARDL techniques. Specifically, the study findings indicate that patents on environmental technologies enhance environ-mental sustainability in Spain, as evidenced by the novel results from the nonlinear ARDL. Secondly, our study reveals that Spain's growing economy degrades the quality of the environment. Based on the findings of the study, positive changes in trade openness could have positive effects on Spain's environmental sustainability, suggesting that better productivity, more international trade, and increased economic openness could facilitate an improvement in Spain's environmental impact. Lastly, this study provides evidence demonstrating that Spain's environmental quality could suffer due to excessive energy consumption. In the light of this study's policy recommendations, the policymakers and the Spanish government should encourage collaboration between private and public partnerships on environmental technologies to address global climate change or regional pollution. It is necessary for research and development to contribute to the development of technological progress in the Spanish energy sector; however, promoting patenting should be prioritized. By expanding patent protection, eco-friendly technologies that can combat carbon emissions can be developed swiftly in Spain, which will enable life to be more sustainable by lowering the use of energy and resources. A strong patent protection sys-tem will foster environmentally-friendly technologies and economic development while reducing CO2 emissions in Spain.",2022,Science & Technology - Other Topics; Environmental Sciences & Ecology,0
DO PATENTS DRIVE INVESTMENT IN SOFTWARE?,; LEGAL PROTECTION; INNOVATION; DESIGNS; TROLLS; START,"the wake of a quartet of Supreme Court decisions which disrupted decades of settled law, the doctrine of patentable subject matter is in turmoil. Scholars, commentators, and jurists continue to disagree sharply over which kinds of invention should be patentable. In this debate, no technology has been more controversial than software. Advocates of software patents contend that denying protection would stymie innovation in a vital industry; skeptics argue that patents are a poor fit for software, and that the social costs of patents outweigh any plausible benefits. At the core of this disagreement is a basic problem: the debate is predicated on various claims about how and whether patents incentivize innovation, but like much of patent law, these claims rest on meager empirical foundations. This Article bolsters these foundations by testing one important claim: that patents serve to attract investment in new inventions. Using a novel quasi -experimental approach and an original dataset, I investigate whether the grant of a patent makes a business -methods software startup more likely to attract early -stage venture capital investment. In contrast to prior scholarship, I find no evidence that patents play a role in channeling investment to these startups, nor that they lead to more successful downstream outcomes such as acquisitions and initial public offerings. These findings have important implications for both patent policy and scholarship. First, this Article provides new evidence on the perennial controversy over whether business -methods software should be patenteligible. As Congress continues to contemplate new legislation to clarify the law of patentable subject matter, the results call into question a leading justification for granting patents in this area. Second, in light of previous scholarship which finds a relationship between patents and investment in other areas of technology, I demonstrate the importance of developing industry -specific evidence on the role that patents play in stimulating innovation.",2024,Government & Law,0
Early Disclosure of Invention and Reduced Duplication: An Empirical Test,AIPA; duplicative research; knowledge disclosure; patents; PRODUCT MARKET; PATENTS; SPILLOVERS; IDEAS,"Much work on innovation strategy assumes or theorizes that competition in innovation elicits duplication of research and that disclosure decreases such duplication. We validate this empirically using the American Inventors Protection Act (AIPA), three complementary identification strategies, and a new measure of blocked future patent applications. We show that AIPA-intended to reduce duplication, through default disclosure of patent applications 18 months after filing-reduced duplication in the U.S. and European patent systems. The blocking measure provides a clear and micro measure of technological competition that can be aggregated to facilitate the empirical investigation of innovation, firm strategy, and the positive and negative externalities of patenting.",2020,Business & Economics; Operations Research & Management Science,0
Pledging Patent Rights for Fighting Against the COVID-19: From the Ethical and Efficiency Perspective,Patent pledges; Distributive justice; COVID-19; INTELLECTUAL PROPERTY; POOLS; INNOVATIONS; PRINCIPLES; THICKETS; BUSINESS,"In response to the great crises of the COVID-19 coronavirus, virtually all new technologies protected by patent rights have been used in practice from diagnostics, therapeutic, medical equipment, and vaccine to prevention, tracking, and containment of COVID-19. However, the moral justification of patent rights is questioned when pharmaceutical patents conflict with public health. This paper proposes a revised approach of deciding on how to address the conflicts between business ethics and patent protections and then compares the different mechanisms of clearing patent thickets. Our findings highlight that patent pledges may not only contribute to achieving the maximized substantive justice of the public but also help patent pledgors fulfill procedural justice. The advantages of patent pledges have attracted many patent holders to make public statements during the COVID-19 pandemic. In contrast, the disadvantages of a free license may make patent pledges not sustainable for a long time without the related supporting measures. Our findings will be helpful for policymakers or company managers to make an appropriate decision on rationally utilizing patent portfolios for fighting against public health crises.",2022,Business & Economics; Social Sciences - Other Topics,0
"Patent protection, innovation, and technology transfer in a Schumpeterian economy",Innovation; Intellectual Property Rights Protection; North-South Product Cycles; R&D; Technology Transfer; INTELLECTUAL PROPERTY-RIGHTS; RESEARCH-AND-DEVELOPMENT; FOREIGN DIRECT-INVESTMENT; PRODUCT-CYCLE MODEL; NORTH-SOUTH TRADE; MULTINATIONAL FIRMS; EMPIRICAL-EVIDENCE; GROWTH; IMITATION; DETERMINANTS,"This paper analyzes the cross-country effects of intellectual property rights (IPR) protection on the relative wage, innovation, and technology transfer in a North-South quality-ladder model with innovative Northern R&D and adaptive Southern R&D. The degree of IPR protection in two countries differs in terms of patent breadth, which determines the markups of Northern firms and their Southern affiliates, respectively. In this model, stronger IPR protection in the South leads to a permanent decrease in the North-South wage gap, a temporary increase in the Northern innovation rate, and a permanent increase in technology transfer. By contrast, stronger IPR protection in the North leads to a permanent increase in the North-South wage gap, ambiguous effects on the Northern innovation rate, and a permanent decrease in technology transfer. Finally, we perform a quantitative analysis by calibrating the model to the US-China data, and the numerical results support these policy implications in addition to a welfare implication such that strengthening patent pro-tection in one country leads to sizable welfare improvements in both countries. (C) 2020 Elsevier B.V. All rights reserved.",2020,Business & Economics,0
Analysis of patent mortality rate across different technology fields in India,Patent survival; patent value; intellectual Property rights; technology; knowledge economy; INTELLECTUAL PROPERTY; REGRESSION-MODELS; SURVIVAL ANALYSIS; PROTECTION; RENEWAL; COMMERCIALIZATION; INDICATORS; CITATIONS; FAILURE,"The aim of this study was to evaluate how indicators of patent quality affect the value of a patent, which can be measured by how often it is renewed (or survives). Intellectual property rights (IPRs) are becoming more important in a wide range of industries. In the same way, a country's intellectual strength can be judged by how many patents it has and how much research and development it does. The Cox-PH model and the accelerated failure time (AFT) model are used in this study to determine the patent's worth across the five major technology groups and ownership status. The final sample for survival analysis is made up of 40132 patents that were obtained from the Indian Patent Office between 1995 and 2005. (IPO). We find that broad academic patents don't last longer, but that the patent's ability to be used internationally makes it last longer. In contrast, institutional patents are geographically restricted. The collaboration appears to have a greater impact on patent value.",2024,Business & Economics,0
Can IP tribunals increase firm patent applications?-Empirical evidence from China,Property rights protection; Intellectual property tribunal; Firm innovation; Institutional change; China economy; INTELLECTUAL PROPERTY-RIGHTS; ECONOMIC-GROWTH; INNOVATION EVIDENCE; PROTECTION; LAWS; INVESTMENT; OWNERSHIP,"This paper aims to examine whether property rights protection can enhance firm innovation. To address the endogeneity problem and establish a causal relationship, we adopt the establishment of Intellectual Property Tribunals (IP Tribunals) in China as a natural experiment and employ the Difference-in-Differences (DiD) approach for estimation. By measuring firm innovation via patents and invention patent applications, we find that establishing IP Tribunals can significantly boost firm innovation. Furthermore, we investigate the heterogeneity of our baseline results and discover that privately-owned firms, smaller-sized firms, non-high-tech firms, and firms located in less marketized areas experience a larger improvement in innovation. This finding suggests that this institutional improvement provides greater protection to disadvantaged firms. Breaking regional protectionism and relaxing firm financing constraints are two possible mechanisms through which IP Tribunals can enhance firm innovation. Our results provide new evidence on how institutional change affects economic growth in China.",2024,Business & Economics,0
Patenting patterns in Artificial Intelligence: Identifying national and international breeding grounds,Artificial intelligence; Digitalisation; Patent analysis; International comparison; Specialisation; TECHNOLOGY; INNOVATION,"This paper identifies countries at the forefront of Artificial Intelligence (AI) development and proposes two novel patent-based indicators to differentiate structural differences in the patterns of intellectual property (IP) protection observed for AI across countries. In particular, we consider (i) the extent to which countries specialise in AI and are relevant markets for corresponding IP protection ('National Breeding Ground'); and (ii) the extent to which countries attract AI from abroad for IP protection and extend the protection of their AI-related IP to foreign markets ('International Breeding Ground'). Our investigation confirms prior findings regarding substantial changes in the technological leadership in AI, besides drastic changes in the relevance of AI techniques over time. Particularly, we find that National and International Breeding Grounds overlap only partially. China and the US can be characterised as dominant National Breeding Grounds. Australia and selected European countries, but primarily the US, are major International Breeding Grounds. We conclude that China promotes AI development with a major focus on IP protection in its domestic market, whereas the US sustains its AI progress in the international context as well. This might indicate a considerable bifurcation in the structural patterns of IP protection in global AI development.",2020,Information Science & Library Science,0
"Protection of patent law objects, created by artificial intelligence (AI) technologies",patent law; invention; patentability; human inventor; artificial intelligence (AI) inventor; ,"The aim of the article is to solve the scientific problem of outlining the issue of protection of patent law objects created using artificial intelligence technologies, and to establish whether it is possible to recognize artificial intelligence technologies as inventor at the present stage of development of legal systems. Philosophical, comparative-legal and system-structural methods were used in the research process. Based on the analysis of the European Patent Convention, the main generally accepted conditions of patentability of the invention are determined: novelty, inventive step, industrial applicability. It has been established that inventions created by artificial intelligence technologies will meet such criteria provided that certain requirements are met. In the context of the study, the case of the invention of artificial intelligence DABUS is analyzed and the results of its consideration in the European Patent Organization, the United Kingdom and the United States are summarized. In particular, it has been established that artificial intelligence technologies are currently not considered as inventors in either the Romano-Germanic or Anglo-Saxon legal systems.",2021,Social Sciences - Other Topics,0
Early Patent Disclosure and R&D Investment in Family Firms,; SOCIOEMOTIONAL WEALTH; CORPORATE DISCLOSURE; PERFORMANCE; OWNERSHIP; PROPRIETARY; AGENCY; PUBLICATION; INFORMATION; INNOVATION; SUBSIDIES,"This paper shows that the American Inventor's Protection Act, which introduced the disclosure of patent applications after 18 months, that is, before a grant decision is taken and, hence, before it is known whether the respective technology will receive legal protection, is associated with a reduction of family firms' research and development (R&D) investment. This suggests that early disclosure of patent applications is perceived as a threat to family firms' innovation activity and discourages their R&D investment. This finding deserves our attention because family firms account for a large share of the US economy, and a reduction in their R&D investment can have long-term consequences.",2024,Business & Economics,0
Patented innovation and left-tail risk: Evidence from China,innovation; left-tail risk; patent; R&D; stock market; GROWTH; RIGHTS; CONSTRAINTS; INVESTMENT; STABILITY,"This study investigates the impact of patented innovation on the left-tail risk of stock price, measured as the 1% value at risk (VaR) and expected shortfall (ES). Using the sample of all listed firms in the Chinese A-share market from 2007 to 2020, we find that the quantity and quality of patents significantly decrease left-tail risk. Second, the effect is more pronounced for firms in regions with patent pledge systems or stronger intellectual property rights protection. Short-selling constraints and the engagement of retail investors hinder patented innovation from reducing left-tail risk. Third, we further explore the mechanisms and find that patented innovation enhances financial performance, mitigates financial constraints, and attracts long-term institutional investors, thereby decreasing left-tail risk.",2024,Business & Economics,0
Is Legal Harmonization Always Better? The Counter-Case of Utility Models,; INTELLECTUAL PROPERTY; FEDERAL CIRCUIT; PATENT SYSTEM; LAW; MYTH; APPROPRIABILITY; PROTECTION; INNOVATION,"Policy makers and international institutions have long maintained that the global business environment is best supported when countries harmonize by adopting substantially uniform legal structures. This is particularly true in the context of intellectual property rights. When such national systems are similar, we believe that investment is undergirded and market participation is facilitated. However, this assumption may be incorrect in some cases. Marginal disharmony in certain intellectual property rights may provide countries space for experimentation while not impeding effective management of global intellectual property portfolios at the firm level. As evidence, we look to the utility model. This long-standing form of invention right is conspicuously and surprisingly unstandardized across the world, yet our analysis, using PATSTAT data, reveals that firms are able to negotiate this disharmony effectively. We employ a novel empirical method that tracks U.S.-priority patents to establish that firms use utility models to optimize their overall appropriability needs by region. Our study finds evidence that a firm may choose standard patent protection in one region and utility model protection in another, even though standard patent protection is available in both settings. We propose that a zone of appropriability preference exists when utility models and standard patents overlap, and this zone provides important strategic opportunities to firms with global intellectual properly portfolios. Our study thus provides an important counter-case for harmonization of national intellectual property laws. As a result, we suggest that such efforts be undertaken with more caution; in some cases, harmonization may do more harm than good.",2021,Business & Economics; Government & Law,0
Can China's national Five-Year Plan for environmental protection induce corporate green innovations?,Five-Year Plan for environmental protection; Corporate green innovations; Subsidy availability; Financing availability; RESEARCH-AND-DEVELOPMENT; PRODUCTIVITY; COMPETITIVENESS; DIFFUSION; POLICY; COST; US,"This study investigates the effect of China's national Five-Year Plan for environmental protection (FYPEP) on corporate green innovations based on the two-way fixed effect model and panel data about the green patents of China's publicly listed corporations during 1990-2020. Furthermore, the heterogeneity of these green innovations is further discussed with reference to the types of innovation, enterprise ownership, and the location of the corporations. It is found that FYPEP significantly induced corporation green innovations at regional and industrial levels. Heterogeneity analysis indicates that the inductive effect of FY PEP is stronger on green utility model patents than on green invention patents. State-owned enterprises react to green innovation policies more significantly than do private businesses. The inductive effect of FYPEP is stronger in Eastern China than in mid- and Western China. From the perspective of government intervention, this research renders a new framework for the formulation of policies of national environmental protection and corporate green innovation.",2022,Environmental Sciences & Ecology,0
Data exclusivity and patent monopoly extension: A view from Australia,access to medicines; data exclusivity; patent; pharmaceutical monopoly extension; ,"Data exclusivity and patents are important to the pharmaceutical industry, and both these regimes coexist in the pharmaceutical landscape. Both data exclusivity and patents provide market exclusivity through monopoly periods. Because data exclusivity and patents can protect the same pharmaceutical, beginning at different times in the pharmaceutical lifecycle and having different durations, these terms may not coincide, and each can extend the effective market exclusivity period of the other. For example, when data exclusivity persists beyond patent expiry for a pharmaceutical, subsequent entrant access to the market is restricted and the period during which originators can charge high prices is extended. This article seeks to eliminate the situation where patent monopolies have expired, but data exclusivity remains in force by proposing a method to ensure that data exclusivity and patent terms expire simultaneously. Further, the proposal maintains the protection to innovators afforded by both data exclusivity and patents, recognising that these regimes protect different things in pharmaceutical development.",2024,Government & Law,0
"Venture capital investment, intellectual property rights protection and firm innovation: evidence from China",Venture capital; innovation; intellectual property rights protection; VCFs' characteristics; PRODUCTIVITY GROWTH; POLITICAL-ECONOMY; PROPENSITY SCORE; PRIVATE FIRMS; GOVERNMENT; PERFORMANCE; PATENTS; FINANCE; INSTITUTIONS; REPUTATION,"We examine the heterogeneous effects of venture capital (VC) investment on firm innovation. Using a panel dataset of Chinese manufacturing firms, we find that VC-backed firms outperform non-VC-backed ones in patenting activities, new product sales, and exports because of the ex-ante selection and ex-post value-added effects of VC investment. Firms with better performance in innovation are more likely to get VC support, and such outperformance is magnified after the VC investment is made. Moreover, the impact of VC investment on firm innovation is greater when the protection of IPR is stronger. In addition, firms backed by more experienced VC firms (VCFs) generate more commercialized innovation but are less productive in patenting activities than firms backed by less experienced VCFs. Finally, firms backed by state-owned VCFs outperform in patenting activities but underperform in commercialized innovation those backed by other types of VCFs. Identification and selection issues are addressed by the propensity score matching approach and two-stage estimations.",2022,Business & Economics; Development Studies,0
Measuring knowledge exploration distance at the patent level: Application of network embedding and citation analysis,Knowledge exploration distance; Patent citation; Network embedding; Patent classification code; TECHNOLOGY; INNOVATION; IDENTIFICATION; EXPLOITATION; FIRMS,"Although the incidence of knowledge exploration is observed in most patents, the concept of knowledge exploration distance has been analyzed with limited patents at the macro level of a company, organization or region. This study quantifies the knowledge exploration distance of individual patents using network embedding methods and citation analysis. First, a technology ecology network is constructed to identify technological association relationships between technical elements. Second, network embedding method is employed to represent technical elements as fixed dimensional vector, preserving the structural information. Next, the individual patents are vectorized based on the technology classification code information and pre-trained embedding values. Finally, by comparing the position between a citing patent and cited patents in the vector space, the knowledge exploration distance of the patent is obtained. This knowledge exploration distance indicates the novel degree of technological association between technical elements of a citing patent and those of cited patents. The case study covering artificial intelligence technology-related patents is conducted to illustrate the process of calculating knowledge exploration distance. Besides, this study showed that the proposed measure has significant relationships with patent-based indicators related to protection coverage, prior knowledge, and patent value.",2022,Computer Science; Information Science & Library Science,0
